ACT1;ACT2;ACT3;ACT4;ACT5;ALT1;ALT2;ALT3;ALT4;ALT5;ALT6;CCP1;CCP2;CCP3;CCP4;CCP5;EECC2;EECC3;EECC4;EECC5;EECC6;EECI1;EECI3;EECI4;IES1;IES2;IES3;NS1;NS2;NS3;LV scores - ACTITUD;LV scores - ALT1;LV scores - CONTROL PERCIBIDO;LV scores - CURRICULO;LV scores - INSTITUCIONAL;LV scores - INTENCION;LV scores - NORMA SUBJETIVA;Case index;﻿PAIS;¿Con qué género te sientes identificado?;GENERO;¿Qué edad tienes? (Escribir el número);¿Cuál es tu nivel de estudios actual en la universidad?;AÑO;¿Sabes lo que es el emprendimiento sostenible?;CONOCE;EECI2;EECC1
2.000000000000;3.000000000000;2.000000000000;2.000000000000;5.000000000000;2.000000000000;1.000000000000;4.000000000000;1.000000000000;1.000000000000;1.000000000000;4.000000000000;3.000000000000;2.000000000000;1.000000000000;2.000000000000;1.000000000000;2.000000000000;1.000000000000;1.000000000000;1.000000000000;1.000000000000;1.000000000000;2.000000000000;5.000000000000;4.000000000000;4.000000000000;1.000000000000;1.000000000000;1.000000000000;-0.678085969519;-3.182099566391;-0.738753595916;-1.758199204178;-2.328826296578;1.188800108492;-3.920462422215;0.000000000000;1.000000000000;Femenino;1.000000000000;24.000000000000;Quinto año;5.000000000000;Si;1.000000000000;1.000000000000;1.000000000000
3.000000000000;2.000000000000;2.000000000000;3.000000000000;2.000000000000;3.000000000000;3.000000000000;3.000000000000;5.000000000000;4.000000000000;4.000000000000;2.000000000000;2.000000000000;2.000000000000;2.000000000000;2.000000000000;4.000000000000;3.000000000000;3.000000000000;3.000000000000;3.000000000000;3.000000000000;2.000000000000;3.000000000000;2.000000000000;2.000000000000;2.000000000000;5.000000000000;5.000000000000;5.000000000000;-1.155412782991;-0.680324216698;-1.179307856275;0.111661908780;-0.866562750545;-0.830492219372;0.981398621147;1.000000000000;1.000000000000;Femenino;1.000000000000;22.000000000000;Quinto año;5.000000000000;No;2.000000000000;4.000000000000;5.000000000000
3.000000000000;5.000000000000;3.000000000000;2.000000000000;4.000000000000;3.000000000000;4.000000000000;2.000000000000;5.000000000000;4.000000000000;3.000000000000;5.000000000000;5.000000000000;5.000000000000;5.000000000000;3.000000000000;3.000000000000;4.000000000000;4.000000000000;4.000000000000;5.000000000000;5.000000000000;2.000000000000;3.000000000000;5.000000000000;4.000000000000;4.000000000000;5.000000000000;5.000000000000;4.000000000000;-0.075689856471;-0.891255434286;1.824143696599;0.940475735419;-0.183506012213;1.188800108492;0.531759251012;2.000000000000;1.000000000000;Masculino;2.000000000000;25.000000000000;Quinto año;5.000000000000;Si;1.000000000000;3.000000000000;2.000000000000
5.000000000000;4.000000000000;4.000000000000;4.000000000000;5.000000000000;5.000000000000;5.000000000000;4.000000000000;5.000000000000;5.000000000000;4.000000000000;5.000000000000;3.000000000000;5.000000000000;5.000000000000;5.000000000000;2.000000000000;5.000000000000;4.000000000000;4.000000000000;5.000000000000;4.000000000000;5.000000000000;4.000000000000;4.000000000000;5.000000000000;5.000000000000;1.000000000000;5.000000000000;5.000000000000;0.958591997643;0.619732184436;1.768650706262;0.985740217314;0.984631111869;1.482753115470;-0.594965161446;3.000000000000;1.000000000000;Masculino;2.000000000000;19.000000000000;Segundo año;2.000000000000;No;2.000000000000;3.000000000000;5.000000000000
5.000000000000;5.000000000000;5.000000000000;3.000000000000;3.000000000000;4.000000000000;5.000000000000;4.000000000000;4.000000000000;4.000000000000;4.000000000000;3.000000000000;3.000000000000;4.000000000000;3.000000000000;5.000000000000;5.000000000000;5.000000000000;5.000000000000;3.000000000000;4.000000000000;4.000000000000;4.000000000000;4.000000000000;4.000000000000;4.000000000000;4.000000000000;5.000000000000;5.000000000000;5.000000000000;0.720490880175;-0.006612607959;0.627960734205;1.265698342216;0.619401769096;0.902522845711;0.981398621147;4.000000000000;1.000000000000;Femenino;1.000000000000;19.000000000000;Segundo año;2.000000000000;No;2.000000000000;5.000000000000;5.000000000000
2.000000000000;3.000000000000;4.000000000000;5.000000000000;2.000000000000;5.000000000000;3.000000000000;2.000000000000;4.000000000000;3.000000000000;3.000000000000;3.000000000000;4.000000000000;4.000000000000;5.000000000000;5.000000000000;5.000000000000;3.000000000000;3.000000000000;4.000000000000;4.000000000000;5.000000000000;5.000000000000;5.000000000000;2.000000000000;2.000000000000;4.000000000000;5.000000000000;3.000000000000;4.000000000000;-0.328376821713;-1.024597095458;1.332340001425;0.669391349093;1.740136945963;-0.266453121244;-0.231710639103;5.000000000000;1.000000000000;Femenino;1.000000000000;20.000000000000;Tercer año;3.000000000000;No;2.000000000000;5.000000000000;4.000000000000
3.000000000000;3.000000000000;3.000000000000;3.000000000000;2.000000000000;3.000000000000;3.000000000000;3.000000000000;4.000000000000;4.000000000000;3.000000000000;3.000000000000;3.000000000000;3.000000000000;3.000000000000;3.000000000000;4.000000000000;4.000000000000;4.000000000000;5.000000000000;5.000000000000;3.000000000000;5.000000000000;3.000000000000;2.000000000000;3.000000000000;2.000000000000;4.000000000000;4.000000000000;4.000000000000;-0.739980625966;-1.092776540861;-0.037101206513;1.304875019854;0.229125277776;-0.532281498677;-0.244066639694;6.000000000000;1.000000000000;Masculino;2.000000000000;20.000000000000;Primer año;1.000000000000;Si;1.000000000000;4.000000000000;3.000000000000
3.000000000000;3.000000000000;5.000000000000;3.000000000000;2.000000000000;3.000000000000;5.000000000000;4.000000000000;4.000000000000;5.000000000000;4.000000000000;4.000000000000;3.000000000000;4.000000000000;4.000000000000;5.000000000000;4.000000000000;4.000000000000;5.000000000000;3.000000000000;4.000000000000;4.000000000000;5.000000000000;5.000000000000;2.000000000000;2.000000000000;2.000000000000;4.000000000000;3.000000000000;4.000000000000;-0.327795599312;-0.037302299437;1.077358948081;0.898354733656;1.398608576797;-0.830492219372;-0.625801584751;7.000000000000;1.000000000000;Femenino;1.000000000000;19.000000000000;Segundo año;2.000000000000;Si;1.000000000000;5.000000000000;5.000000000000
3.000000000000;4.000000000000;4.000000000000;5.000000000000;3.000000000000;4.000000000000;4.000000000000;5.000000000000;4.000000000000;4.000000000000;4.000000000000;2.000000000000;2.000000000000;2.000000000000;3.000000000000;1.000000000000;4.000000000000;3.000000000000;2.000000000000;2.000000000000;2.000000000000;3.000000000000;3.000000000000;3.000000000000;2.000000000000;3.000000000000;2.000000000000;4.000000000000;4.000000000000;4.000000000000;0.308159512604;-0.021947652456;-1.158367767559;-0.478557280087;-0.501333407771;-0.532281498677;-0.244066639694;8.000000000000;1.000000000000;Masculino;2.000000000000;21.000000000000;Segundo año;2.000000000000;No;2.000000000000;5.000000000000;4.000000000000
4.000000000000;4.000000000000;3.000000000000;4.000000000000;3.000000000000;3.000000000000;3.000000000000;2.000000000000;3.000000000000;3.000000000000;3.000000000000;3.000000000000;3.000000000000;3.000000000000;3.000000000000;3.000000000000;4.000000000000;4.000000000000;3.000000000000;3.000000000000;3.000000000000;4.000000000000;3.000000000000;4.000000000000;3.000000000000;3.000000000000;3.000000000000;4.000000000000;4.000000000000;3.000000000000;0.100516604549;-1.681631579332;-0.037101206513;0.317965954007;0.254172426322;0.036015313169;-0.693706009828;9.000000000000;1.000000000000;Femenino;1.000000000000;20.000000000000;Segundo año;2.000000000000;No;2.000000000000;3.000000000000;3.000000000000
