genero;Pais;conoce_emp_sost;NS1;CCP1;EECI1;EECC2;ALT6;CCP4;CCP5;EECI2;EECI4;EECC4;ALT5;ACT2;CCP2;ACT4;ALT1;NS2;ALT2;EECI3;EECC1;IES2;EECC5;EECC6;ALT4;ACT3;NS3;CCP3;ACT1;ALT3;EECC3;IES1;ACT5;IES3;Grupos
1.000000000000;1.000000000000;1.000000000000;1.000000000000;4.000000000000;1.000000000000;1.000000000000;1.000000000000;1.000000000000;2.000000000000;1.000000000000;2.000000000000;1.000000000000;1.000000000000;3.000000000000;3.000000000000;2.000000000000;2.000000000000;1.000000000000;1.000000000000;1.000000000000;1.000000000000;4.000000000000;1.000000000000;1.000000000000;1.000000000000;2.000000000000;1.000000000000;2.000000000000;2.000000000000;4.000000000000;2.000000000000;5.000000000000;5.000000000000;4.000000000000;2.000000000000
1.000000000000;1.000000000000;2.000000000000;5.000000000000;2.000000000000;3.000000000000;4.000000000000;4.000000000000;2.000000000000;2.000000000000;4.000000000000;3.000000000000;3.000000000000;4.000000000000;2.000000000000;2.000000000000;3.000000000000;3.000000000000;5.000000000000;3.000000000000;2.000000000000;5.000000000000;2.000000000000;3.000000000000;3.000000000000;5.000000000000;2.000000000000;5.000000000000;2.000000000000;3.000000000000;3.000000000000;3.000000000000;2.000000000000;2.000000000000;2.000000000000;1.000000000000
2.000000000000;1.000000000000;1.000000000000;5.000000000000;5.000000000000;5.000000000000;3.000000000000;3.000000000000;5.000000000000;3.000000000000;3.000000000000;3.000000000000;4.000000000000;4.000000000000;5.000000000000;5.000000000000;2.000000000000;3.000000000000;5.000000000000;4.000000000000;2.000000000000;2.000000000000;4.000000000000;4.000000000000;5.000000000000;5.000000000000;3.000000000000;4.000000000000;5.000000000000;3.000000000000;2.000000000000;4.000000000000;5.000000000000;4.000000000000;4.000000000000;2.000000000000
2.000000000000;1.000000000000;2.000000000000;1.000000000000;5.000000000000;4.000000000000;2.000000000000;4.000000000000;5.000000000000;5.000000000000;3.000000000000;4.000000000000;4.000000000000;5.000000000000;4.000000000000;3.000000000000;4.000000000000;5.000000000000;5.000000000000;5.000000000000;5.000000000000;5.000000000000;5.000000000000;4.000000000000;5.000000000000;5.000000000000;4.000000000000;5.000000000000;5.000000000000;5.000000000000;4.000000000000;5.000000000000;4.000000000000;5.000000000000;5.000000000000;1.000000000000
1.000000000000;1.000000000000;2.000000000000;5.000000000000;3.000000000000;4.000000000000;5.000000000000;4.000000000000;3.000000000000;5.000000000000;5.000000000000;4.000000000000;5.000000000000;4.000000000000;5.000000000000;3.000000000000;3.000000000000;4.000000000000;5.000000000000;5.000000000000;4.000000000000;5.000000000000;4.000000000000;3.000000000000;4.000000000000;4.000000000000;5.000000000000;5.000000000000;4.000000000000;5.000000000000;4.000000000000;5.000000000000;4.000000000000;3.000000000000;4.000000000000;1.000000000000
1.000000000000;1.000000000000;2.000000000000;5.000000000000;3.000000000000;5.000000000000;5.000000000000;3.000000000000;5.000000000000;5.000000000000;5.000000000000;5.000000000000;3.000000000000;3.000000000000;3.000000000000;4.000000000000;5.000000000000;5.000000000000;3.000000000000;3.000000000000;5.000000000000;4.000000000000;2.000000000000;4.000000000000;4.000000000000;4.000000000000;4.000000000000;4.000000000000;4.000000000000;2.000000000000;2.000000000000;3.000000000000;2.000000000000;2.000000000000;4.000000000000;2.000000000000
2.000000000000;1.000000000000;1.000000000000;4.000000000000;3.000000000000;3.000000000000;4.000000000000;3.000000000000;3.000000000000;3.000000000000;4.000000000000;3.000000000000;4.000000000000;4.000000000000;3.000000000000;3.000000000000;3.000000000000;3.000000000000;4.000000000000;3.000000000000;5.000000000000;3.000000000000;3.000000000000;5.000000000000;5.000000000000;4.000000000000;3.000000000000;4.000000000000;3.000000000000;3.000000000000;3.000000000000;4.000000000000;2.000000000000;2.000000000000;2.000000000000;2.000000000000
1.000000000000;1.000000000000;1.000000000000;4.000000000000;4.000000000000;4.000000000000;4.000000000000;4.000000000000;4.000000000000;5.000000000000;5.000000000000;5.000000000000;5.000000000000;5.000000000000;3.000000000000;3.000000000000;3.000000000000;3.000000000000;3.000000000000;5.000000000000;5.000000000000;5.000000000000;2.000000000000;3.000000000000;4.000000000000;4.000000000000;5.000000000000;4.000000000000;4.000000000000;3.000000000000;4.000000000000;4.000000000000;2.000000000000;2.000000000000;2.000000000000;2.000000000000
2.000000000000;1.000000000000;2.000000000000;4.000000000000;2.000000000000;3.000000000000;4.000000000000;4.000000000000;3.000000000000;1.000000000000;5.000000000000;3.000000000000;2.000000000000;4.000000000000;4.000000000000;2.000000000000;5.000000000000;4.000000000000;4.000000000000;4.000000000000;3.000000000000;4.000000000000;3.000000000000;2.000000000000;2.000000000000;4.000000000000;4.000000000000;4.000000000000;2.000000000000;3.000000000000;5.000000000000;3.000000000000;2.000000000000;3.000000000000;2.000000000000;1.000000000000
1.000000000000;1.000000000000;2.000000000000;4.000000000000;3.000000000000;4.000000000000;4.000000000000;3.000000000000;3.000000000000;3.000000000000;3.000000000000;4.000000000000;3.000000000000;3.000000000000;4.000000000000;3.000000000000;4.000000000000;3.000000000000;4.000000000000;3.000000000000;3.000000000000;3.000000000000;3.000000000000;3.000000000000;3.000000000000;3.000000000000;3.000000000000;3.000000000000;3.000000000000;4.000000000000;2.000000000000;4.000000000000;3.000000000000;3.000000000000;3.000000000000;1.000000000000
1.000000000000;1.000000000000;2.000000000000;5.000000000000;3.000000000000;3.000000000000;5.000000000000;5.000000000000;5.000000000000;4.000000000000;5.000000000000;3.000000000000;3.000000000000;4.000000000000;5.000000000000;5.000000000000;5.000000000000;4.000000000000;5.000000000000;5.000000000000;5.000000000000;5.000000000000;2.000000000000;5.000000000000;5.000000000000;5.000000000000;5.000000000000;5.000000000000;5.000000000000;5.000000000000;5.000000000000;5.000000000000;3.000000000000;5.000000000000;5.000000000000;1.000000000000
2.000000000000;1.000000000000;1.000000000000;5.000000000000;3.000000000000;4.000000000000;4.000000000000;5.000000000000;3.000000000000;3.000000000000;3.000000000000;4.000000000000;3.000000000000;5.000000000000;4.000000000000;3.000000000000;4.000000000000;4.000000000000;5.000000000000;5.000000000000;3.000000000000;5.000000000000;4.000000000000;4.000000000000;4.000000000000;4.000000000000;5.000000000000;5.000000000000;3.000000000000;4.000000000000;3.000000000000;4.000000000000;3.000000000000;3.000000000000;4.000000000000;1.000000000000
1.000000000000;1.000000000000;2.000000000000;5.000000000000;3.000000000000;5.000000000000;5.000000000000;5.000000000000;3.000000000000;2.000000000000;5.000000000000;5.000000000000;5.000000000000;5.000000000000;5.000000000000;5.000000000000;5.000000000000;5.000000000000;5.000000000000;5.000000000000;5.000000000000;5.000000000000;5.000000000000;5.000000000000;5.000000000000;5.000000000000;5.000000000000;5.000000000000;5.000000000000;5.000000000000;5.000000000000;5.000000000000;5.000000000000;5.000000000000;5.000000000000;1.000000000000
1.000000000000;1.000000000000;1.000000000000;4.000000000000;2.000000000000;3.000000000000;3.000000000000;4.000000000000;3.000000000000;3.000000000000;4.000000000000;3.000000000000;3.000000000000;4.000000000000;3.000000000000;3.000000000000;3.000000000000;3.000000000000;4.000000000000;4.000000000000;4.000000000000;5.000000000000;3.000000000000;3.000000000000;4.000000000000;4.000000000000;5.000000000000;4.000000000000;3.000000000000;4.000000000000;4.000000000000;3.000000000000;4.000000000000;4.000000000000;4.000000000000;1.000000000000
2.000000000000;1.000000000000;1.000000000000;4.000000000000;3.000000000000;5.000000000000;5.000000000000;3.000000000000;4.000000000000;4.000000000000;2.000000000000;4.000000000000;4.000000000000;5.000000000000;2.000000000000;4.000000000000;4.000000000000;4.000000000000;5.000000000000;5.000000000000;5.000000000000;2.000000000000;1.000000000000;5.000000000000;4.000000000000;5.000000000000;2.000000000000;5.000000000000;2.000000000000;2.000000000000;5.000000000000;4.000000000000;1.000000000000;2.000000000000;5.000000000000;2.000000000000
1.000000000000;1.000000000000;2.000000000000;4.000000000000;3.000000000000;4.000000000000;3.000000000000;4.000000000000;3.000000000000;2.000000000000;3.000000000000;3.000000000000;4.000000000000;4.000000000000;4.000000000000;3.000000000000;4.000000000000;5.000000000000;5.000000000000;5.000000000000;3.000000000000;4.000000000000;3.000000000000;3.000000000000;3.000000000000;3.000000000000;4.000000000000;5.000000000000;3.000000000000;4.000000000000;4.000000000000;2.000000000000;2.000000000000;3.000000000000;3.000000000000;1.000000000000
2.000000000000;1.000000000000;1.000000000000;5.000000000000;3.000000000000;4.000000000000;4.000000000000;5.000000000000;5.000000000000;3.000000000000;5.000000000000;3.000000000000;5.000000000000;5.000000000000;5.000000000000;5.000000000000;5.000000000000;5.000000000000;5.000000000000;5.000000000000;4.000000000000;5.000000000000;5.000000000000;4.000000000000;5.000000000000;5.000000000000;5.000000000000;5.000000000000;3.000000000000;5.000000000000;5.000000000000;5.000000000000;5.000000000000;5.000000000000;5.000000000000;1.000000000000
2.000000000000;1.000000000000;2.000000000000;5.000000000000;5.000000000000;2.000000000000;2.000000000000;3.000000000000;4.000000000000;2.000000000000;5.000000000000;2.000000000000;3.000000000000;5.000000000000;4.000000000000;5.000000000000;4.000000000000;3.000000000000;5.000000000000;4.000000000000;1.000000000000;5.000000000000;4.000000000000;4.000000000000;3.000000000000;5.000000000000;5.000000000000;4.000000000000;5.000000000000;5.000000000000;3.000000000000;2.000000000000;3.000000000000;3.000000000000;2.000000000000;2.000000000000
2.000000000000;1.000000000000;1.000000000000;5.000000000000;5.000000000000;4.000000000000;5.000000000000;5.000000000000;4.000000000000;2.000000000000;5.000000000000;5.000000000000;5.000000000000;5.000000000000;5.000000000000;4.000000000000;5.000000000000;5.000000000000;4.000000000000;5.000000000000;5.000000000000;3.000000000000;3.000000000000;5.000000000000;3.000000000000;4.000000000000;5.000000000000;4.000000000000;5.000000000000;5.000000000000;5.000000000000;5.000000000000;5.000000000000;5.000000000000;5.000000000000;1.000000000000
1.000000000000;1.000000000000;2.000000000000;5.000000000000;5.000000000000;5.000000000000;1.000000000000;5.000000000000;5.000000000000;1.000000000000;5.000000000000;1.000000000000;1.000000000000;5.000000000000;1.000000000000;1.000000000000;5.000000000000;5.000000000000;5.000000000000;5.000000000000;1.000000000000;5.000000000000;3.000000000000;1.000000000000;1.000000000000;5.000000000000;5.000000000000;5.000000000000;3.000000000000;3.000000000000;5.000000000000;1.000000000000;3.000000000000;5.000000000000;3.000000000000;2.000000000000
2.000000000000;1.000000000000;2.000000000000;5.000000000000;2.000000000000;5.000000000000;3.000000000000;4.000000000000;3.000000000000;2.000000000000;4.000000000000;4.000000000000;2.000000000000;4.000000000000;3.000000000000;2.000000000000;3.000000000000;4.000000000000;3.000000000000;3.000000000000;2.000000000000;4.000000000000;2.000000000000;2.000000000000;2.000000000000;4.000000000000;4.000000000000;4.000000000000;3.000000000000;3.000000000000;4.000000000000;2.000000000000;2.000000000000;2.000000000000;1.000000000000;1.000000000000
1.000000000000;1.000000000000;2.000000000000;5.000000000000;3.000000000000;4.000000000000;2.000000000000;4.000000000000;3.000000000000;1.000000000000;3.000000000000;3.000000000000;3.000000000000;4.000000000000;4.000000000000;3.000000000000;3.000000000000;5.000000000000;5.000000000000;4.000000000000;4.000000000000;4.000000000000;3.000000000000;3.000000000000;3.000000000000;4.000000000000;4.000000000000;5.000000000000;4.000000000000;4.000000000000;4.000000000000;3.000000000000;3.000000000000;4.000000000000;3.000000000000;1.000000000000
2.000000000000;1.000000000000;2.000000000000;3.000000000000;1.000000000000;4.000000000000;3.000000000000;3.000000000000;3.000000000000;1.000000000000;2.000000000000;2.000000000000;2.000000000000;4.000000000000;2.000000000000;1.000000000000;3.000000000000;3.000000000000;4.000000000000;3.000000000000;3.000000000000;4.000000000000;1.000000000000;3.000000000000;4.000000000000;5.000000000000;3.000000000000;3.000000000000;3.000000000000;4.000000000000;3.000000000000;4.000000000000;1.000000000000;2.000000000000;1.000000000000;2.000000000000
2.000000000000;1.000000000000;2.000000000000;4.000000000000;3.000000000000;3.000000000000;3.000000000000;4.000000000000;4.000000000000;2.000000000000;4.000000000000;3.000000000000;2.000000000000;4.000000000000;3.000000000000;4.000000000000;4.000000000000;4.000000000000;4.000000000000;5.000000000000;3.000000000000;4.000000000000;3.000000000000;3.000000000000;3.000000000000;4.000000000000;4.000000000000;4.000000000000;4.000000000000;3.000000000000;4.000000000000;3.000000000000;3.000000000000;3.000000000000;3.000000000000;1.000000000000
